company,slug,ticker,cik,sec_title
Affirm,affirm,AFRM,0001820953,"Affirm Holdings, Inc."
AliBaba,alibaba,BABA,0001577552,Alibaba Group Holding Ltd
Alphabet,alphabet,GOOGL,0001652044,Alphabet Inc.
Ally Financial,ally-financial,ALLY,0000040729,Ally Financial Inc.
Amazon,amazon,AMZN,0001018724,AMAZON COM INC
Apple,apple,AAPL,0000320193,Apple Inc.
Baidu,baidu,BIDU,0001329099,"Baidu, Inc."
Block,block,XYZ,0001512673,"Block, Inc."
